sr_no,dev_sorts,structure,finish_gsm,finish_width,oeactiva,oeactiva_2,oeactiva_3,kia,kia_2,kia_3,swift,classic,classic_2,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,local_cost,sales_price,export_cost_inr,export_price_fc,price_usdkg,price_usdmtrs,price_usdyds,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169
1.0,10018,2T FLEECE,350.0,168.0,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,96.0,0.0,0.0,4.0,,,,,,,,96%COTTON+4%ELASTANE,INDIGO,24s INDIGO+40D WHITE SPANDEX,550.7656,605.84216,651.134268,7.48430193103448,7.48430193103448,4.40076953544828,4.03740324353053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,20085,FLEECE,285.0,165.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,70.0,24.0,0.0,6.0,,,,,,,,INDIGO,INDIGO,30s INDIGO+150D WHITE POLY+40D WHITE SPANDEX,482.5535,530.80885,572.3492925,6.5787275,6.5787275,3.093646606875,2.8382078962156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,20086,FLEECE,330.0,170.0,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,0.0,0.0,5.0,,,,,,,,95%COTTON+5%ELASTANE,INDIGO,24s INDIGO+24s GREIGE KORA+40D WHITE SPANDEX,501.2348,551.35828,593.926194,6.82673786206897,6.82673786206897,3.82979994062069,3.51357792717494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,20135,FRENCH TERRY,410.0,155.0,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,22.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,59.0,31.0,0.0,10.0,,,,,,,,59%COTTON+31%POLY+10%ELASTANE,BLACK,24s SUL. BLACK+80D WHITE POLY+150D WHITE POLY+70D WHITE SPANDEX,401.76675,441.943425,479.04059625,5.50621375,5.50621375,3.499198838125,3.21027416341743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,20136,FRENCH TERRY,350.0,160.0,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,67.0,24.0,0.0,9.0,,,,,,,,67%COTTON+24%POLY+9%ELASTANE,BLACK,24s SUL. BLACK+80D WHITE POLY+70D WHITE SPANDEX,416.50675,458.157425,496.06529625,5.70189995689655,5.70189995689655,3.19306397586207,2.92941649161658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,20139,MINI FRENCH TERRY,320.0,168.0,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,72.0,23.0,0.0,5.0,,,,,,,,72%COTTON+23%POLY+5%ELASTANE,INDIGO,24s INDIGO+150D WHITE  POLY+40D WHITE SPANDEX,478.5902,526.44922,567.771681,6.52611127586207,6.52611127586207,3.50843742190345,3.21874992835179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,20155,MINI TWILL,360.0,146.0,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,21.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,65.0,27.0,0.0,8.0,,,,,,,,65%COTTON+27%POLY+8%ELASTANE,BLACK,24s SUL.BLACK+80D WHITE POLY+300D BLACK POLY+70D WHITE SPANDEX,410.97925,452.077175,489.68103375,5.62851762931034,5.62851762931034,2.95834886596552,2.71408152840873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,20161,2/1 TUCK TWILL,315.0,162.0,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,73.0,22.0,0.0,5.0,,,,,,,,73%COTTON+22%POLY+5%ELASTANE,INDIGO,24s INDIGO+150D WHITE POLY+40D WHITE SPANDEX,481.69055,529.859605,571.35258525,6.56727109482759,6.56727109482759,3.35127843969052,3.07456737586286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,20165,MINI TUCK TWILL,370.0,162.0,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,93.0,0.0,0.0,7.0,,,,,,,,93%COTTON+7%ELASTANE,INDIGO,24s INDIGO+30s SLUB KORA+70D WHITE SPANDEX,516.8295,568.51245,611.9380725,7.03377094827586,7.03377094827586,4.21604230639655,3.86792872146473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,20230,MATT WEAVE,290.0,155.0,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,57.0,37.0,0.0,6.0,,,,,,,,57%COTTON+37%POLY+6%ELASTANE,INDIGO,24s INDIGO+150D BLACK POLY+40D WHITE SPANDEX,434.31795,477.749745,516.63723225,5.93835899137931,5.93835899137931,2.669292366625,2.44889207947248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
