sr_no,dev_sorts,structure,finish_gsm,finish_width,cotton_yarn_costing,wastage,dyeing_cost_rs,dyed_yarn_cost_rs,cotton_dyed_proportion_cost,polyester_cost,spandex_cost,melange_cost,col_14,kora_yarn_cost,reactive_yarn_cost,cooltex_yarn_cost,recycle_yarn_cost,dyed_poly_yarn_cost,micro_modal,viscose,raw_material_cost,knittng__processing_cost,wastage_2,costing,margin,selling_price,conversion_rcvd,currency_rate,discount_if_any,sort_no,96cotton4elastane,price_usdkg,price_usdmtrs,price_usdyds,linear_mtrskg,linear_ydgskg,width_cms,width_inch,weight_gsm,weight_ozssq_yds,price_per_kg_inr,freight_inr_per_kg,commission,lc_days__interest_15_pm,lc_days_interest_amount,col_47,total_cost_pricefreightcomlc_int,inr__kg,col_50,total_cost_usd__kg,col_52
1,10018,2T FLEECE,350,168,225.0,6.75,110,341.75,328.08,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.48,90,43.148,474.628,47.4628,522.0908,180.6108,87,0,10018,INDIGO,6.47350965517241,3.80642367724138,3.49213181398292,1.7006802721088434,1.8537414965986394,168,66.14173228346456,350,10.32448377581121,522.0908,15,26.10454,0,0,,563.19534,,,6.47350965517241,
2,20085,FLEECE,285,165,230.0,6.9,110,346.9,242.83,26.88,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,289.81,90,37.981,417.791,41.7791,459.5701,169.7601,87,0,20085,,5.71894948275862,2.68933599426724,2.46728072868554,2.126528442317916,2.3179160021265286,165,64.96062992125984,285,8.4070796460177,459.5701,15,22.978505,0,0,,497.548605,,,5.71894948275862,
3,20086,FLEECE,330,170,225.0,6.75,110,341.75,232.39,0.0,16.75,0.0,,67.5,0.0,0.0,0.0,0,0,0,316.64,90,40.664,447.304,44.7304,492.0344,175.3944,87,0,20086,,6.11076,3.42813636,3.1450792293578,1.7825311942959001,1.9429590017825313,170,66.92913385826772,330,9.734513274336283,492.0344,15,24.60172,0,0,,531.63612,,,6.11076,
4,20135,FRENCH TERRY,410,155,225.0,6.75,110,341.75,201.6325,35.71,33.5,0.0,,0.0,0.0,0.0,0.0,0,0,0,270.8425,90,36.08425,396.92675,39.692675,436.619425,165.776925,87,0,20135,,5.44195857758621,3.45836467605603,3.17281162940921,1.5735641227380015,1.7151848937844218,155,61.023622047244096,410,12.09439528023599,436.619425,15,21.83097125,0,0,,473.45039625,,,5.44195857758621,
5,20136,FRENCH TERRY,350,160,225.0,6.75,110,341.75,228.9725,29.52,30.15,0.0,,0.0,0.0,0.0,0.0,0,0,0,288.6425,90,37.86425,416.50675,41.650675,458.157425,169.514925,87,0,20136,,5.70189995689655,3.19306397586207,2.92941649161658,1.7857142857142858,1.9464285714285716,160,62.99212598425197,350,10.32448377581121,458.157425,15,22.90787125,0,0,,496.06529625,,,5.70189995689655,
6,20139,MINI FRENCH TERRY,320,168,225.0,6.75,110,341.75,246.06,25.76,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,288.57,90,37.857,416.427,41.6427,458.0697,169.4997,87,0,20139,,5.70084120689655,3.06477223282759,2.81171764479595,1.8601190476190474,2.027529761904762,168,66.14173228346456,320,9.43952802359882,458.0697,15,22.903485,0,0,,495.973185,,,5.70084120689655,
7,20155,MINI TWILL,360,146,225.0,6.75,110,341.75,222.1375,34.68,26.8,0.0,,0.0,0.0,0.0,0.0,0,0,0,283.6175,90,37.36175,410.97925,41.097925,452.077175,168.459675,87,0,20155,,5.62851762931034,2.95834886596552,2.71408152840873,1.9025875190258752,2.073820395738204,146,57.48031496062992,360,10.619469026548673,452.077175,15,22.60385875,0,0,,489.68103375,,,5.62851762931034,
8,20161,2/1 TUCK TWILL,315,162,225.0,6.75,110,341.75,249.4775,24.64,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,290.8675,90,38.08675,418.95425,41.895425,460.849675,169.982175,87,0,20161,,5.73439262931034,2.92626055873707,2.68464271443768,1.9596315892612188,2.1359984322947287,162,63.77952755905512,315,9.29203539823009,460.849675,15,23.04248375,0,0,,498.89215875,,,5.73439262931034,
9,20165,MINI TUCK TWILL,370,162,225.0,6.75,110,341.75,239.225,0.0,23.450000000000003,0.0,,66.7,0.0,0.0,0.0,0,0,0,329.375,90,41.9375,461.3125,46.13125,507.44375,178.06875,87,0,20165,,6.2967349137931,3.77426290732759,3.46262652048402,1.6683350016683347,1.818485151818485,162,63.77952755905512,370,10.914454277286136,507.44375,15,25.3721875,0,0,,547.8159375,,,6.2967349137931,
10,20230,MATT WEAVE,290,155,225.0,6.75,110,341.75,194.7975,48.839999999999996,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,263.7375,90,35.37375,389.11125,38.911125,428.022375,164.284875,87,0,20230,,5.33820107758621,2.399521384375,2.20139576548165,2.2246941045606228,2.424916573971079,155,61.023622047244096,290,8.554572271386432,428.022375,15,21.40111875,0,0,,464.42349375,,,5.33820107758621,
11,20340,FRENCH TERRY,275,156,230.0,6.9,110,346.9,274.051,18.45,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,312.601,90,40.2601,442.8611,44.28611,487.14721,174.54621,87,0,20340,,6.05177667241379,2.59621219246552,2.3818460481335,2.331002331002331,2.540792540792541,156,61.41732283464567,275,8.112094395280236,487.14721,15,24.3573605,0,0,,526.5045705,,,6.05177667241379,
12,20341,FRENCH TERRY,310,152,230.0,6.9,110,346.9,280.989,15.99,20.099999999999998,0.0,,0.0,0.0,0.0,0.0,0,0,0,317.079,90,40.7079,447.7869,44.77869,492.56559,175.48659,87,0,20341,,6.1171709137931,2.88241093457931,2.64441370144891,2.1222410865874366,2.3132427843803063,152,59.84251968503937,310,9.144542772861357,492.56559,15,24.6282795,0,0,,532.1938695,,,6.1171709137931,
13,20343,FRENCH TERRY,260,167,230.0,6.9,110,346.9,232.423,31.360000000000003,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,280.533,90,37.0533,407.5863,40.75863,448.34493,167.81193,87,0,20343,,5.58347329310345,2.42434410386552,2.22416890262892,2.3030861354214647,2.5103638876093965,167,65.74803149606299,260,7.669616519174042,448.34493,15,22.4172465,0,0,,485.7621765,,,5.58347329310345,
14,20344,3/1 TUCK TWILL,410,170,285.0,8.55,110,403.55,375.3015,0.0,23.450000000000003,0.0,,0.0,0.0,0.0,0.0,0,0,0,398.7515,90,48.87515,537.62665,53.762665,591.389315,192.637815,87,0,20344,,7.30987104310345,5.0949801170431,4.67429368536065,1.4347202295552368,1.5638450502152081,170,66.92913385826772,410,12.09439528023599,591.389315,15,29.56946575,0,0,,635.95878075,,,7.30987104310345,
15,20345,3/1 KNIT TWILL,290,158,225.0,6.75,110,341.75,328.08,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,341.48,90,43.148,474.628,47.4628,522.0908,180.6108,87,0,20345,INDIGO,6.47350965517241,2.966162124,2.72124965504587,2.1824530772588386,2.3788738542121344,158,62.204724409448815,290,8.554572271386432,522.0908,15,26.10454,0,0,,563.19534,,,6.47350965517241,
16,20348,3/1 KNIT TWILL,300,146,285.0,8.55,110,403.55,298.627,24.64,13.4,0.0,,0.0,0.0,0.0,0.0,0,0,0,336.667,90,42.6667,469.3337,46.93337,516.26707,179.60007,87,0,20348,,6.40322325862069,2.80461178727586,2.57303833695033,2.2831050228310503,2.488584474885845,146,57.48031496062992,300,8.849557522123893,516.26707,15,25.8133535,0,0,,557.0804235,,,6.40322325862069,
17,20349,SINGLE JERSEY,180,160,230.0,6.9,110,346.9,329.555,0.0,16.75,0.0,,0.0,0.0,0.0,0.0,0,0,0,346.305,90,43.6305,479.9355,47.99355,527.92905,181.62405,87,0,20349,,6.54397129310345,1.88466373241379,1.72904929579247,3.4722222222222223,3.7847222222222228,160,62.99212598425197,180,5.3097345132743365,527.92905,15,26.3964525,0,0,,569.3255025,,,6.54397129310345,
18,20350,3/1 KNIT TWILL,300,146,285.0,8.55,110,403.55,298.627,0.0,13.4,0.0,,0.0,0.0,0.0,0.0,44,0,0,356.027,90,44.6027,490.6297,49.06297,539.69267,183.66567,87,0,20350,,6.68594601724138,2.92844435555172,2.68664619775387,2.2831050228310503,2.488584474885845,146,57.48031496062992,300,8.849557522123893,539.69267,15,26.9846335,0,0,,581.6773035,,,6.68594601724138,
