particulars,product,price,change_date,price_numeric
% OF INDIGO,30S KCW,230.0,2026-05-25 00:00:00,230.0
% OF INDIGO,24S KCW,225.0,2026-05-25 00:00:00,225.0
% OF INDIGO,20S KCW,185.0,2026-05-25 00:00:00,185.0
% OF INDIGO,30S KCW,230.0,2026-05-25 00:00:00,230.0
% OF INDIGO,24S KCW,225.0,2026-05-25 00:00:00,225.0
% OF INDIGO,20S KCW,220.0,2026-05-25 00:00:00,220.0
% OF INDIGO,30S KCW,230.0,2026-05-25 00:00:00,230.0
% OF INDIGO,24S KCW,225.0,2026-05-25 00:00:00,225.0
% OF INDIGO,20S KCW,220.0,2026-05-25 00:00:00,220.0
% OF Delta,30S KCW,230.0,2026-05-25 00:00:00,230.0
% OF Delta,24S KCW,225.0,2026-05-25 00:00:00,225.0
% OF Delta,20S KCW,220.0,2026-05-25 00:00:00,220.0
% OF INDIGO,30S CCW,255.0,2026-05-25 00:00:00,255.0
% OF INDIGO,24S CCW,250.0,2026-05-25 00:00:00,250.0
% OF INDIGO,20S CCW,245.0,2026-05-25 00:00:00,245.0
% OF Delta,30S CCW,255.0,2026-05-25 00:00:00,255.0
% OF Delta,24S CCW,250.0,2026-05-25 00:00:00,250.0
% OF Delta,20S CCW,245.0,2026-05-25 00:00:00,245.0
% OF Dezire,30S KW,230.0,2026-05-25 00:00:00,230.0
% OF Dezire,24S,225.0,2026-05-25 00:00:00,225.0
% OF Dezire,20S,220.0,2026-05-25 00:00:00,220.0
% OF IBST,30S,230.0,2026-05-25 00:00:00,230.0
% OF IBST,24S,225.0,2026-05-25 00:00:00,225.0
% OF IBST,20S,220.0,2026-05-25 00:00:00,220.0
Indigo Slub (Santro),30,290.0,2026-05-25 00:00:00,290.0
Indigo Slub (Santro),24,290.0,2026-05-25 00:00:00,290.0
Delta Slub,30,290.0,2026-05-25 00:00:00,290.0
Delta Slub,24,290.0,2026-05-25 00:00:00,290.0
Tencel Indigo,30,295.0,2026-05-25 00:00:00,295.0
Tencel Indigo,24,290.0,2026-05-25 00:00:00,290.0
Tencel Indigo,20,285.0,2026-05-25 00:00:00,285.0
Tencel Delta,30,295.0,2026-05-25 00:00:00,295.0
Tencel Delta,24,290.0,2026-05-25 00:00:00,290.0
Tencel Delta,20,285.0,2026-05-25 00:00:00,285.0
% White Poly,55 D,145.0,2026-05-25 00:00:00,145.0
% White Poly,75 D,123.0,2026-05-25 00:00:00,123.0
% White Poly,80 D,123.0,2026-05-25 00:00:00,123.0
% White Poly,100 D,121.0,2026-05-25 00:00:00,121.0
% White Poly,150 D,112.0,2026-05-25 00:00:00,112.0
% White Poly,200 D,110.0,2026-05-25 00:00:00,110.0
% White Poly,300 D,109.0,2026-05-25 00:00:00,109.0
% Black Poly,55 D,145.0,2026-05-25 00:00:00,145.0
% Black Poly,75 D,121.0,2026-05-25 00:00:00,121.0
% Black Poly,80 D,121.0,2026-05-25 00:00:00,121.0
% Black Poly,100 D,120.0,2026-05-25 00:00:00,120.0
% Black Poly,150 D,117.0,2026-05-25 00:00:00,117.0
% Black Poly,200 D,110.0,2026-05-25 00:00:00,110.0
% Black Poly,300 D,112.0,2026-05-25 00:00:00,112.0
% OF LYCRA,20 D,355.0,2026-05-25 00:00:00,355.0
% OF LYCRA,30 D,345.0,2026-05-25 00:00:00,345.0
% OF LYCRA,40 D,335.0,2026-05-25 00:00:00,335.0
% OF LYCRA,55 D,335.0,2026-05-25 00:00:00,335.0
% OF LYCRA,70 D,335.0,2026-05-25 00:00:00,335.0
% OF LYCRA,105 D,395.0,2026-05-25 00:00:00,395.0
% Melange,80 D,172.0,2026-05-25 00:00:00,172.0
% Melange,150 D,122.0,2026-05-25 00:00:00,122.0
% Melange,160 D,122.0,2026-05-25 00:00:00,122.0
% Melange,220 D,130.0,2026-05-25 00:00:00,130.0
% Melange,300 D,112.0,2026-05-25 00:00:00,112.0
Kora / Grey,30 Slub,290.0,2026-05-25 00:00:00,290.0
Kora / Grey,Slub,,,
Kora / Grey,60,340.0,2026-05-25 00:00:00,340.0
Kora / Grey,40,280.0,2026-05-25 00:00:00,280.0
Kora / Grey,34,260.0,2026-05-25 00:00:00,260.0
Kora / Grey,30 CCH,255.0,2026-05-25 00:00:00,255.0
Kora / Grey,30 KCW,260.0,2026-05-25 00:00:00,260.0
Kora / Grey,24 KCW,250.0,2026-05-25 00:00:00,250.0
Kora / Grey,20 KCW,230.0,2026-05-25 00:00:00,230.0
Kora / Grey,20 OE,185.0,2026-05-25 00:00:00,185.0
Kora / Grey,16,245.0,2026-05-25 00:00:00,245.0
Reactive,30,350.0,2026-05-25 00:00:00,350.0
Reactive,24,345.0,2026-05-25 00:00:00,345.0
Reactive,20,340.0,2026-05-25 00:00:00,340.0
Cooltex,75 D,178.0,2026-05-25 00:00:00,178.0
Cooltex,150 D,179.0,2026-05-25 00:00:00,179.0
Cooltex,200 D,172.0,2026-05-25 00:00:00,172.0
Recycle,28 PC,230.0,2026-05-25 00:00:00,230.0
Recycle,24 PC,215.0,2026-05-25 00:00:00,215.0
Recycle,80 D Poly,175.0,2026-05-25 00:00:00,175.0
Recycle,150 D Poly,165.0,2026-05-25 00:00:00,165.0
Dyed Poly,75 D,210.0,2026-05-25 00:00:00,210.0
Dyed Poly,150 D,200.0,2026-05-25 00:00:00,200.0
Dyed Poly,300 D,200.0,2026-05-25 00:00:00,200.0
Micro Modal,30,390.0,2026-05-25 00:00:00,390.0
Micro Modal,24,385.0,2026-05-25 00:00:00,385.0
Micro Modal,20,380.0,2026-05-25 00:00:00,380.0
Viscose,40,390.0,2026-05-25 00:00:00,390.0
Viscose,30,390.0,2026-05-25 00:00:00,390.0
Viscose,24,385.0,2026-05-25 00:00:00,385.0
% TOTAL COMPOSITION,Cotton,,,
% TOTAL COMPOSITION,Poly,,,
% TOTAL COMPOSITION,Tencel,,,
% TOTAL COMPOSITION,Spandex,,,
